News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,153,3.072985444972718,2.2027486989510487
Western Sources,19,-4.80687797402865,5.090836696153094
Local Sources,2512,2.0945837915619943,2.7069776925317073
