News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,131,3.0045169608966087,3.274238182319892
Western Sources,18,-0.23927351501252916,2.765265735808748
Local Sources,1209,0.19758105585528762,2.821413569658961
