"","Source Name","Mention Count"
"1","timesofoman.com",335
"2","omandaily.om",201
"3","omanobserver.om",179
"4","alwatan.com",127
"5","shabiba.com",126
"6","muscatdaily.com",89
"7","omantribune.com",40
