News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,61,3.644915527007619,2.5772272971227554
Western Sources,16,-3.764402374625206,2.86595419697372
Local Sources,24,-0.7224057565132777,4.9294002369332865
