News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,129,3.071704531824866,1.644626887361473
Western Sources,30,-1.2097972596685092,2.3293583187585267
Local Sources,56,1.0261645700250352,2.6434117666000065
