News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,5,0.8343255519866943,6.255125405060934
Western Sources,9,-2.9960439701875052,3.9817439374067836
Local Sources,84,2.4404153454871405,2.603500755542304
