News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,337, 3.6087968673125927, 2.7385241521504904
Western Sources, 114, -0.36659567561327366, 1.8533941413080632
Local Sources,5591, 0.6795174037380352, 1.2306306372794291


