News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,105, 3.513343471856344, 2.847046434752414
Western Sources,3, -2.0245245695114136, 1.0245127706795603
Local Sources,14, 1.4925062613827842, 2.2899818219533508
