News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources, 280, 3.206034941332681, 2.212194856321297
Western Sources, 57, -1.9421923234405225, 5.206667968411844
Local Sources , 4806, 2.285402270490509, 2.5824704617098
