News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,35, 2.76302592754364, 2.3457563506563917
Western Sources,4,-4.438396201469004,5.146836444002564
Local Sources,675, 1.7994902267720965, 3.147034556973463



