News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,567,2.7892078579891297,3.28456010372918
Western Sources,95,-2.524579838075136,3.0024286417316373
Local Sources,1522,0.40685958897942154,3.1930387423777216
