Source Name,Mention Count,,
sabc.co.za,13,,
oracleunion.com,13,,
china-africa-reporting.co.za,13,,
mb.com.ph,13,,
proactiveinvestors.co.uk,13,,
espanol.cntv.cn,13,,
oann.com,13,,
themalaymailonline.com,13,,
drurymirror.com,13,,
wbtv.com,13,,
oracleherald.com,13,,
mobile.lemonde.fr,13,,
globedia.com,13,,
wsws.org,13,,
manicapost.co.zw,13,,
asahi.com,13,,
globalconstructionreview.com,13,,
daily.mk,13,,
therepublic.com,12,,
india.com,12,,
dailytrust.com.ng,12,,
bdnews24.com,12,,
upi.com,12,,
montrealgazette.com,12,,
miamiherald.com,12,,
ntd.tv,12,,
northstarnational.com,12,,
kababachir.com,12,,
thestar.com.my,12,,
mongabay.com,12,,
nbcnews.com,12,,
portuguese.cri.cn,12,,
huewire.com,12,,
redpepper.org.uk,12,,
swissinfo.ch,12,,
tanzaniatoday.co.tz,11,,
theworldlink.com,11,,
muscatinejournal.com,11,,
wardheernews.com,11,,
weekendpost.co.bw,11,,
bjreview.com.cn,11,,
lowvelder.co.za,11,,
srilankasource.com,11,,
presschronicle.com,11,,
newsok.com,11,,
delmarvanow.com,11,,
wral.com,11,,
steelguru.com,11,,
thenewage.co.za,11,,
naija247news.com,11,,
celebcafe.org,11,,
702.co.za,11,,
jeuneafrique.com,11,,
wsbradio.com,11,,
foxnews.com,11,,
miningweekly.com,11,,
ctpost.com,11,,
gbcghana.com,11,,
kormorant.co.za,11,,
firstpost.com,11,,
macaudailytimes.com.mo,11,,
sunnewsonline.com,10,,
bernama.com,10,,
nairaland.com,10,,
beijingreview.com.cn,10,,
afriqueredaction.com,10,,
beaconexaminer.com,10,,
namibiansun.com,10,,
mynorthwest.com,10,,
lnt.ma,10,,
heraldsun.com.au,10,,
cfr.org,10,,
cnsnews.com,10,,
rfi.fr,10,,
engineeringnews.co.za,10,,
zim.gov.zw,10,,
kfoxtv.com,10,,
greenwichtime.com,10,,
africageographic.com,10,,
kvoa.com,10,,
newser.com,10,,
christiantimes.com,10,,
startribune.com,10,,
chinaplus.cri.cn,10,,
morungexpress.com,10,,
intpolicydigest.org,10,,
mauritaniavox.com,10,,
thaivisa.com,10,,
businessdayghana.com,9,,
punchng.com,9,,
focusingonwildlife.com,9,,
omaha.com,9,,
prnewswire.com,9,,
dispatchtimes.com,9,,
newsday.co.tt,9,,
espanol.cri.cn,9,,
sbwire.com,9,,
seattlepi.com,9,,
siouxcityjournal.com,9,,
abc.net.au,9,,
daytondailynews.com,9,,
german.cri.cn,9,,
todayonline.com,9,,
klkntv.com,9,,
mtstandard.com,9,,
watoday.com.au,9,,
cote-d-ivoire.net,9,,
lacrossetribune.com,9,,
elcomercio.pe,9,,
independent.co.ug,9,,
thenewdawnliberia.com,9,,
mmegi.bw,9,,
voaafrique.com,9,,
timesunion.com,9,,
pambazuka.org,9,,
thesouthafrican.com,9,,
eurasiareview.com,9,,
jacarandafm.com,9,,
statesville.com,9,,
263chat.com,9,,
thevillagessuntimes.com,9,,
leadership.ng,9,,
lahaine.org,8,,
africasacountry.com,8,,
wcfcourier.com,8,,
japantimes.co.jp,8,,
knpr.org,8,,
ktvq.com,8,,
afropages.fr,8,,
wypr.org,8,,
gulf-times.com,8,,
btvi.in,8,,
fairfieldcitizenonline.com,8,,
ktvl.com,8,,
dailysun.co.za,8,,
nigeriasun.com,8,,
cameroon-tribune.cm,8,,
wbrc.com,8,,
igihe.com,8,,
irishsun.com,8,,
sharenet.co.za,8,,
9and10news.com,8,,
skyscrapercity.com,8,,
downtoearth.org.in,8,,
cpianalysis.org,8,,
wandtv.com,8,,
eturbonews.com,8,,
freshplaza.com,8,,
kpax.com,8,,
mdzol.com,8,,
africa-confidential.com,8,,
anthonypainter.co.uk,8,,
miningglobal.com,8,,
thenews.com.pk,8,,
walb.com,8,,
kswo.com,8,,
wsbt.com,8,,
openpr.com,8,,
blacknet.co.uk,8,,
breitbart.com,8,,
readingeagle.com,8,,
wcnc.com,8,,
seattletimes.com,8,,
hawaiinewsnow.com,8,,
jornada.unam.mx,8,,
journaldebrazza.com,8,,
changezimbabwe.com,8,,
ippmedia.com,8,,
metro.us,8,,
wqow.com,8,,
nationalpost.com,8,,
businessdailyafrica.com,8,,
foreignaffairs.co.nz,8,,
cbs2iowa.com,8,,
bna.bh,8,,
elnuevodiario.com.do,8,,
thehansindia.info,8,,
ktar.com,8,,
atpworldtour.com,8,,
financialspots.com,8,,
oraclegazette.com,7,,
kbzk.com,7,,
newafricanmagazine.com,7,,
tucson.com,7,,
wfmz.com,7,,
journaldequebec.com,7,,
liberation.fr,7,,
thebricspost.com,7,,
thefrontierpost.com,7,,
chinanationalnews.com,7,,
sierraleonetimes.com,7,,
thedailynewnation.com,7,,
medafricatimes.com,7,,
russian.news.cn,7,,
dw.com,7,,
deentv.co.za,7,,
news.com.au,7,,
informativenews.co.ls,7,,
soutalomma.com,7,,
aljazeera.com,7,,
bangkokpost.com,7,,
12newsnow.com,7,,
agenceecofin.com,7,,
cgtn.com,7,,
domain-b.com,7,,
itwebafrica.com,7,,
ezhejiang.gov.cn,7,,
beijingbulletin.com,7,,
middleastpost.com,7,,
nbc29.com,7,,
asiaone.com,7,,
mynews13.com,7,,
streetinsider.com,7,,
koaa.com,7,,
portalangop.co.ao,7,,
iheart.com,7,,
venturesafrica.com,7,,
thepublicopinion.com,7,,
wsbtv.com,7,,
shanghaisun.com,7,,
brookings.edu,7,,
kxlf.com,7,,
ann7.com,7,,
slateafrique.com,7,,
kansascity.com,7,,
pantagraph.com,7,,
mydigitalfc.com,7,,
go.com,7,,
thetandd.com,7,,
businesstimes.co.tz,7,,
timesfreepress.com,7,,
ecofinagency.com,7,,
esi-africa.com,7,,
independent.co.uk,7,,
billingsgazette.com,7,,
technomag.co.zw,7,,
bdlive.co.za,7,,
qctimes.com,7,,
spa.gov.sa,7,,
newsfultoncounty.com,7,,
windsorstar.com,6,,
newera.com.na,6,,
larouchepub.com,6,,
business-humanrights.org,6,,
cemnet.com,6,,
sky.com,6,,
contacto-latino.com,6,,
citizentv.co.ke,6,,
gazettetimes.com,6,,
slconcordtimes.com,6,,
popherald.com,6,,
fasopresse.net,6,,
dailyprogress.com,6,,
beaumontenterprise.com,6,,
lmtonline.com,6,,
wboc.com,6,,
newsdaily.com,6,,
newsmax.com,6,,
kxxv.com,6,,
njherald.com,6,,
neurope.eu,6,,
taipeitimes.com,6,,
rdm.co.za,6,,
baynews9.com,6,,
wpxi.com,6,,
thestarphoenix.com,6,,
dunyanews.tv,6,,
shanghainews.net,6,,
breakbulk.com,6,,
hongkongfp.com,6,,
tribtown.com,6,,
marxist.com,6,,
el-balad.com,6,,
namibian.com.na,6,,
masdark.com,6,,
qianlong.com,6,,
ipi.media,6,,
thedailybeast.com,6,,
independenttribune.com,6,,
slate.com,6,,
empowerednews.net,6,,
theglobeandmail.com,6,,
dailyjournal.net,6,,
mysinchew.com,6,,
zpravy.aktualne.cz,6,,
pinknews.co.uk,6,,
palmbeachpost.com,6,,
faceofmalawi.com,6,,
humanesociety.org,6,,
salon.com,6,,
247nigerianewsupdate.co,6,,
calgaryherald.com,6,,
cnnphilippines.com,6,,
africabusiness.com,6,,
spectator.co.uk,6,,
thenational.ae,6,,
newsobserver.com,6,,
gazettestandard.com,6,,
freightweek.org,6,,
emirates247.com,6,,
appeal-democrat.com,6,,
thehimalayantimes.com,6,,
dissidentvoice.org,6,,
foxsanantonio.com,6,,
newsblogged.com,6,,
ksby.com,6,,
waow.com,6,,
news18.com,6,,
nanonews.org,6,,
latimes.com,6,,
interaksyon.com,6,,
thecountywide.com,6,,
economist.com,6,,
epochtimes.ru,6,,
radioaustralia.net.au,6,,
dailynews.co.tz,6,,
tinzwei.com,6,,
elshinta.com,6,,
onegreenplanet.org,6,,
trib.com,6,,
ht.no,6,,
rekordeast.co.za,6,,
binghamtonhomepage.com,6,,
cajnewsafrica.com,6,,
siftingsherald.com,5,,
hometownstations.com,5,,
pri.org,5,,
cbc.ca,5,,
bdtonline.com,5,,
waltonian.com,5,,
voice-online.co.uk,5,,
houstonchronicle.com,5,,
kplu.org,5,,
wsiu.org,5,,
hpr2.org,5,,
weku.fm,5,,
greensboro.com,5,,
gnnliberia.com,5,,
ofm.co.za,5,,
or-politics.com,5,,
brecorder.com,5,,
nhregister.com,5,,
zanupf.org.zw,5,,
wmra.org,5,,
kcbx.org,5,,
camer.be,5,,
fox13memphis.com,5,,
newdelhitimes.com,5,,
pulse.com.gh,5,,
hppr.org,5,,
kosu.org,5,,
wuis.org,5,,
nigerianpilot.com,5,,
wunc.org,5,,
wrvo.org,5,,
care2.com,5,,
peconicpublicbroadcasting.org,5,,
localnews8.com,5,,
wlrn.org,5,,
manoramaonline.com,5,,
cihan.com.tr,5,,
wfae.org,5,,
journaldumali.com,5,,
africareview.com,5,,
usnews.com,5,,
montraykreyol.org,5,,
tribunnews.com,5,,
zimlive.com,5,,
wuwm.com,5,,
kpcw.org,5,,
boisestatepublicradio.org,5,,
cbs4local.com,5,,
wyso.org,5,,
wxpr.org,5,,
africanarguments.org,5,,
wkar.org,5,,
wcqs.org,5,,
