News, # Articles, Mean tone, Standard deviation in tone 
Chinese Sources,  660, 2.059650632377827, 2.8910054094284323 
Western Sources, 116, -0.8914855451419436, 3.557888951115337
Local Sources, 324, 1.7673266923721926, 2.1646999084831138 
