"","Source Name","Mention Count"
"1","kuna.net.kw",323
"2","aljarida.com",275
"3","kuwaittimes.net",170
"4","arabtimesonline.com",125
"5","alraimedia.com",124
"6","al-seyassah.com",97
"7","alufuqnews.com",60
"8","alanba.com.kw",37
"9","alqabas.com.kw",36
"10","alkhabarkw.com",30
"11","e.gov.kw",27
