"","Source Name","Mention Count"
"1","gov.na",980
"2","namibian.com.na",476
"3","namibiansun.com",338
"4","neweralive.na",111
"5","observer.com.na",87
"6","informante.web.na",78
"7","thevillager.com.na",62
"8","republikein.com.na",55
"9","az.com.na",27
"10","nbc.na",19
"11","insight.com.na",18
