News,  articles, Mean tone, Standard deviation in tone  
Chinese Sources, 484, 2.059430184966523, 4.0174747461582845
Western Sources, 205, -1.7805014422753962, 3.12026280951962 
Local Sources, 727, -0.3640089053173833, 3.274623368227778 
