News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources, 14, 5.222434997558594, 0.6341549369860733
Western Sources, 9, 0.7463279101583693, 1.601664025619178
Local Sources, 3, 1.5645877917607625, 0.28091419631751613
