News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources, 37, 4.960078448862643, 1.2302029946938104
Western Sources, 28, 1.9321052048887526, 1.7529780089355
Local Sources, 12, 1.2858377198378246, 1.4126386922504761
