News,"	Articles","	Mean Tone","	Standard Deviation in Tone"
Chinese Sources,1742,0.047666019,"3.3125840726013682		"
Western Sources,3245,-2.331092967,2.570899595
Local Sources,1474,-0.200527218,2.989944071
