News, # Articles, Mean tone Standard deviation in tone 
Chinese Sources,  329, 2.4527254551649094, 4.0892360644665775   
Western Sources, 71, -0.6292211199310463, 3.3811834815687813
Local Sources, 314, -1.550415035882953, 4.049120686408796 
