News, # Articles, Mean tone, Standard deviation in tone 
Chinese Sources, 1321, 2.87755591454468, 3.823108090523455  
Western Sources, 327, -0.8023734653214796, 3.5492015561569104 
Local Sources, 3258, -1.1829609945233501, 4.193126722601443 
