Country Name,FIPS-10 Code,Event Count,Average NumSources
Myanmar,BM,12550,1.0492
Thailand,TH,39453,1.0555
Cambodia,CB,23126,1.0508
Viet Nam,VN,0,
Philippines,RP,139800,1.0566
Malaysia,MY,69748,1.0565
Brunei Darussalam,BX,87475,1.0787
Indonesia,ID,48178,1.0444
Papua New Guinea,PP,3891,1.0910
Timor-Leste,TT,489,1.0225
