News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,829,2.226725962754469,3.264598034281743
Western Sources,93,-3.573887397525131,3.195128358250925
Local Sources,596,0.022590563801311008,3.567671703802152
