News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,577,1.9012197296375626,2.6733356319684294
Western Sources,78,-2.175080716992036,4.430852248830466
Local Sources,1020,-0.234133069261032,3.295621684699558
