News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,125,2.8740598294734956,3.5831416359203887
Western Sources,5,-0.9925434738397598,2.6336213807763587
Local Sources,473,0.8801621568190371,3.971696052999652
