News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources, 82, 1.5978381339369752, 3.2120149453546327
Western Sources, 13, -0.8774049969819876, 1.938342299288405
Local Sources,203, 1.1448039292848755, 3.123439999893177
