News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,145, 1.7021915798557217, 3.065304022804007
Western Sources,42, -2.3479680858907246, 2.7719677314144335
Local Sources, 281, 1.1441967121965095, 3.0928822188590464
