Country Name,ISO Code,Confidence Level,Press Type,Mean,Standard Deviation,Number of Articles
Botswana,BWA,0,Chinese,3.056734588585402,2.7378480689708784,437
Botswana,BWA,0,Western,-2.723189185728732,3.5015161680842484,97
Botswana,BWA,0,Local,0.4748712334526015,3.7298265614288315,859
Botswana,BWA,30,Chinese,3.073253243881772,2.8685502988076594,213
Botswana,BWA,30,Western,-2.6040749847888947,4.121114094067166,51
Botswana,BWA,30,Local,0.9441871879482762,3.92598967948925,387
Botswana,BWA,50,Chinese,3.114139038053426,3.0717815183098596,154
Botswana,BWA,50,Western,-2.755057674387227,2.1125154004251927,23
Botswana,BWA,50,Local,0.4720012595055074,3.7513186183625744,247
Botswana,BWA,70,Chinese,3.0298506894470316,2.8183326144446457,113
Botswana,BWA,70,Western,-2.1801988993372237,2.713135467076823,7
Botswana,BWA,70,Local,-0.17002012131484687,3.0548603284995046,141
Botswana,BWA,100,Chinese,3.259033379081177,2.483417873382513,73
Botswana,BWA,100,Western,0.5813953280448914,0.0,3
Botswana,BWA,100,Local,-0.20092042182621203,3.2489675448411712,57
Burundi,BDI,0,Chinese,2.6283031495293323,2.8904713716605483,351
Burundi,BDI,0,Western,-2.128086128018119,1.5350841508106705,44
Burundi,BDI,0,Local,1.5271645825557898,3.1127716329630006,351
Burundi,BDI,30,Chinese,2.7322517643172537,2.5795878180436067,199
Burundi,BDI,30,Western,-1.9935153192943997,1.6504517409608979,18
Burundi,BDI,30,Local,1.5001641819697051,2.8063935639566884,168
Burundi,BDI,50,Chinese,2.9033307344135313,2.232543332134462,144
Burundi,BDI,50,Western,-2.4229403495788575,1.4672817067862747,15
Burundi,BDI,50,Local,1.4970753855065795,2.8382505215366174,151
Burundi,BDI,70,Chinese,2.801550184243492,2.2429189946595187,112
Burundi,BDI,70,Western,-2.7716166178385415,1.3774608269315147,9
Burundi,BDI,70,Local,1.1035952569473357,2.6198539744980494,105
Burundi,BDI,100,Chinese,2.8607920797665916,1.927171368354583,75
Burundi,BDI,100,Western,-0.8771929740905762,0.0,1
Burundi,BDI,100,Local,1.2115056812763214,2.6670447368119956,64
Chad,TCD,0,Chinese,2.926287763248915,3.7253064223997585,174
Chad,TCD,0,Western,-3.6275660458363985,2.6999639718812625,38
Chad,TCD,0,Local,-0.8161768544287908,4.729155975666386,42
Chad,TCD,30,Chinese,3.4516914610068,3.095297149479652,75
Chad,TCD,30,Western,-3.517386589731489,2.706797819462587,21
Chad,TCD,30,Local,-0.8706430064307319,4.8429174932775165,27
Chad,TCD,50,Chinese,3.644915527007619,2.5772272971227554,61
Chad,TCD,50,Western,-3.764402374625206,2.86595419697372,16
Chad,TCD,50,Local,-0.7224057565132777,4.9294002369332865,24
Chad,TCD,70,Chinese,3.3834038072444024,2.745748854593873,47
Chad,TCD,70,Western,-3.133634348710378,2.6432437445807118,12
Chad,TCD,70,Local,-1.1106283945195816,5.367974341305467,17
Chad,TCD,100,Chinese,2.9218835720309504,3.116650649677585,27
Chad,TCD,100,Western,-3.280186931292216,2.138921083229505,6
Chad,TCD,100,Local,-0.7162016721872183,4.8076670416672584,13
Comoros,COM,0,Chinese,3.994995101,1.930640549,117
Comoros,COM,0,Western,,,0
Comoros,COM,0,Local,2.446099351,1.989644257,69
Comoros,COM,30,Chinese,4.709305614738141,2.0509150012160107,59
Comoros,COM,30,Western,,,0
Comoros,COM,30,Local,2.0666576902712546,2.44925553296875,31
Comoros,COM,50,Chinese,4.468832494214523,2.268140458895729,43
Comoros,COM,50,Western,,,0
Comoros,COM,50,Local,2.2188992603071807,2.460070602262342,29
Comoros,COM,70,Chinese,4.335034632020527,2.1669564299505044,36
Comoros,COM,70,Western,,,0
Comoros,COM,70,Local,1.9007063535126774,2.6102173849177928,22
Comoros,COM,100,Chinese,4.823106264074643,1.9629304931426892,24
Comoros,COM,100,Western,,,0
Comoros,COM,100,Local,1.3343688001235325,2.556716876567826,12
Djibouti,DJI,0,Chinese,2.4393317960659138,3.0815674592322266,1061
Djibouti,DJI,0,Western,-1.2043226405651684,2.2008059731109113,502
Djibouti,DJI,0,Local,0.5202972790685253,2.7738527012952576,483
Djibouti,DJI,30,Chinese,2.5177834739727256,3.0910359768097844,565
Djibouti,DJI,30,Western,-1.435076592711069,2.026663609565609,236
Djibouti,DJI,30,Local,0.3882519558948629,2.8105465567713717,238
Djibouti,DJI,50,Chinese,2.3029559363848437,3.03527098594557,408
Djibouti,DJI,50,Western,-1.4326313937965192,2.2402409068370415,133
Djibouti,DJI,50,Local,0.8048888901058509,2.5217010373265776,147
Djibouti,DJI,70,Chinese,2.65093058534697,2.839507847183962,255
Djibouti,DJI,70,Western,-1.4597700888790734,1.927166243438116,82
Djibouti,DJI,70,Local,1.2536102701174585,2.2580957952802647,95
Djibouti,DJI,100,Chinese,2.162609122817715,3.0567097637339247,120
Djibouti,DJI,100,Western,-1.7943101447075605,2.064814159400298,40
Djibouti,DJI,100,Local,1.6147523891666662,2.400142790740459,46
Eritrea,ERI,0,Chinese,2.013960800237126,1.9896228209890414,27
Eritrea,ERI,0,Western,-1.3018273836687992,2.004623265615436,19
Eritrea,ERI,0,Local,2.284724336985039,3.0085162558517253,292
Eritrea,ERI,30,Chinese,1.8613162499207716,2.2646690081668583,13
Eritrea,ERI,30,Western,-0.808003696528348,2.000859929807534,11
Eritrea,ERI,30,Local,2.581553570248864,3.201386507025807,154
Eritrea,ERI,50,Chinese,1.0668512433767319,1.7735373004759742,8
Eritrea,ERI,50,Western,-1.392114241917928,1.9058805026448102,6
