News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,255,2.65093058534697,2.839507847183962
Western Sources,82,-1.4597700888790734,1.927166243438116
Local Sources,95,1.2536102701174585,2.2580957952802647
