Source Name,Mention Count,
fox34.com,11,
schema-root.org,11,
ibtimes.co.uk,11,
newindianexpress.com,10,
muscatinejournal.com,10,
tax-news.com,10,
hellenicshippingnews.com,10,
mid-day.com,10,
globalissues.org,10,
laosnews.net,10,
thehindubusinessline.com,10,
thecitizen.in,10,
newsworldindia.in,10,
morningstaronline.co.uk,10,
thepublicopinion.com,10,
dailysabah.com,10,
wvnews.com,10,
fredericksburg.com,10,
heraldsun.com.au,10,
jg-tc.com,10,
metro.us,10,
themoscowtimes.com,10,
news.mn,10,
catchnews.com,10,
mangalorean.com,10,
timesunion.com,10,
allafrica.com,10,
libya-al-mostakbal.org,10,
greenwichtime.com,10,
theinsidekorea.com,10,
pakistantelegraph.com,10,
bruneinews.net,10,
shzxgov.com,10,
nationalpost.com,10,
indiatoday.intoday.in,10,
beijingreview.com.cn,9,
theworldlink.com,9,
abqjournal.com,9,
armenpress.am,9,
oleantimesherald.com,9,
koreaherald.com,9,
kaspi.az,9,
nysepost.com,9,
dailykashmirimages.com,9,
chippewa.com,9,
wacotrib.com,9,
beatricedailysun.com,9,
sb.by,9,
sott.net,9,
foxnews.com,9,
malaysiasun.com,9,
australiannews.net,9,
yenisafak.com,9,
marketwatch.com,9,
1310news.com,9,
naturalgaseurope.com,9,
kremlin.ru,9,
ledger-enquirer.com,9,
livehindustan.com,9,
theindianawaaz.com,9,
nepalnational.com,9,
cachevalleydaily.com,8,
ibtimes.co.in,8,
youroilandgasnews.com,8,
news957.com,8,
mb.com.ph,8,
fresnobee.com,8,
dailytelegraph.com.au,8,
cihan.com.tr,8,
cnbc.com,8,
sharenet.co.za,8,
japantimes.co.jp,8,
oann.com,8,
mydigitalfc.com,8,
phoenixherald.com,8,
satprnews.com,8,
startribune.com,8,
thecourierexpress.com,8,
plenglish.com,8,
vietnamtribune.com,8,
irishsun.com,8,
elpasoinc.com,8,
innercitypress.com,8,
dunyanews.tv,8,
calcuttanews.net,8,
newsx.com,8,
christiannewstoday.com,8,
jagran.com,8,
amarujala.com,8,
presstv.ir,8,
military-technologies.net,8,
birminghamstar.com,8,
onlinenews.com.pk,8,
freshplaza.com,8,
680news.com,8,
tasnimnews.com,8,
punjabstarnews.com,8,
nuz.uz,8,
foreignpolicy.com,8,
romandie.com,8,
carnegieendowment.org,8,
moderndiplomacy.eu,8,
tdh.gov.tm,8,
gazeta.kg,7,
eng.24.kg,7,
voiceofjournalists.com,7,
popherald.com,7,
thenewstribune.com,7,
570news.com,7,
kursiv.kz,7,
seattlepi.com,7,
lompocrecord.com,7,
theolympian.com,7,
avesta.tj,7,
torontotelegraph.com,7,
businesstoday.in,7,
chieftain.com,7,
batonrougepost.com,7,
singaporestar.com,7,
italian.cri.cn,7,
cumberlink.com,7,
hqcomoxvalley.com,7,
currentaffairs.gktoday.in,7,
leadercall.com,7,
iusbpreface.com,7,
sfgate.com,7,
caracol.com.co,7,
theprogressnews.com,7,
albawabhnews.com,7,
kentucky.com,7,
tribtown.com,7,
heraldglobe.com,7,
ctpost.com,7,
townhall.com,7,
globalnews.ca,7,
washingtonpost.com,7,
elcomercio.pe,7,
chinavitae.com,7,
dailyjournal.net,7,
the-messenger.com,7,
mynews13.com,7,
richmond.com,7,
millenniumpost.in,7,
sys-con.com,7,
expresioneconomica.org,7,
billsinsider.com,7,
mvd.uz,7,
russianconstruction.com,7,
theusnews.com,7,
pajhwok.com,7,
islandpacket.com,7,
telegraphindia.com,7,
intellinews.com,7,
pioneernews.in,7,
kenyastar.com,7,
copts-united.com,7,
fax.al,7,
samaa.tv,7,
scroll.in,7,
egypttoday.com,7,
ohiostandard.com,7,
go.com,7,
therepublic.com,7,
radio.gov.pk,7,
voltairenet.org,6,
elfagr.org,6,
larouchepub.com,6,
sfchronicle.com,6,
omaha.com,6,
starherald.com,6,
naturalgasworld.com,6,
kob.com,6,
sanluisobispo.com,6,
indialivetoday.com,6,
dailynewsegypt.com,6,
nzherald.co.nz,6,
journaltimes.com,6,
seattletimes.com,6,
thegardenisland.com,6,
couriermail.com.au,6,
legalbusinessonline.com,6,
660news.com,6,
gulfnews.com,6,
thedailycroton.com,6,
nyhetsbanken.info,6,
eng.tpp-inform.ru,6,
dailyastorian.com,6,
alwihdainfo.com,6,
elkodaily.com,6,
mynorthwest.com,6,
dispatchnewsdesk.com,6,
talks.su,6,
centralchronicle.com,6,
econintersect.com,6,
pilotonline.com,6,
auburnpub.com,6,
star.com.tr,6,
middle-east-online.com,6,
madison.com,6,
thenewsnigeria.com.ng,6,
t24.com.tr,6,
aljarida.com,6,
blacklistednews.com,6,
upi.com,6,
lancasteronline.com,6,
qatar-tribune.com,6,
fairfieldcitizenonline.com,6,
elbalad.news,6,
news.statetimes.in,6,
presstv.com,6,
mysanantonio.com,6,
pakistanlink.org,6,
rferl.mobi,6,
thepeninsulaqatar.com,6,
solonews.net,6,
tradearabia.com,6,
adelaidenow.com.au,6,
journalstar.com,6,
prabhatkhabar.com,6,
forbes.com,6,
ozodi.org,6,
agerpres.ro,6,
wanderlust.co.uk,6,
chron.com,6,
idahopress.com,6,
perthnow.com.au,6,
hrw.org,6,
yourindustrynews.com,6,
cctv-america.com,6,
bakhtarnews.com.af,6,
thestandard.com.hk,6,
financialcontent.com,6,
