News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,280,3.473329806487475,3.15354800254338
Western Sources,57,-1.9109697830781602,3.561416561894679
Local Sources,366,2.1851195756427413,3.6614310067426517
