News,#Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources, 57, 4.878333758889583, 1.4638538845752391
Western Sources, 46, 1.862412797368091, 1.7408327944871647
Local Sources,20, 1.195688247680664, 1.2403503319241742
