"","Source Name","Mention Count"
"1","inforpress.publ.cv",20
"2","expressodasilhas.cv",8
"3","anacao.cv",4
"4","governo.cv",4
"5","allafrica.com",4
"6","expressodasilhas.sapo.cv",1
"7","asemana.publ.cv",1
"8","rtc.cv",1
