News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,124,2.8677541249461713,3.010038450983443
Western Sources,13,0.7519902157095762,4.19468884926706
Local Sources,547,1.6197663342113686,3.1970203818682084
