News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,504,3.013368822693352,2.6652881298294004
Western Sources,51,-2.077469590978295,3.667284250645582
Local Sources,3398,-0.2750917131715992,4.074302117688481
