"","Source Name","Mention Count"
"1","tolonews.com",1224
"2","pajhwok.com",772
"3","outlookafghanistan.net",764
"4","thefrontierpost.com",722
"5","bakhtarnews.com.af",569
"6","khaama.com",556
"7","afghanistantimes.af",505
"8","ariananews.af",284
