News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,154,3.114139038053426,3.0717815183098596
Western Sources,23,-2.755057674387227,2.1125154004251927
Local Sources,247,0.4720012595055074,3.7513186183625744
