News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,4816,0.29094029727865295,3.220721289207357
Western Sources,3374,-2.339056170966739,2.5243249621476966
Local Sources,34812,-1.1153346031380291,2.709861119746732
