News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,67,2.95962561689206,3.0722551048855156
Western Sources,15,-0.9465190341075261,1.8429107441193904
Local Sources,25,-1.6857815670967102,3.738273853273811
