News,# Articles,Mean Tone,Standard Deviation in Tone
Chinese Sources,10,3.1851997852325438,0.5127362341325353
Western Sources,58,0.4488251532973914,1.0190202271422812
Local Sources,46,0.00665997810985731,2.995421634556692
